,,,
Time,No.,Content,Hotness
2021-12-04 02:28:27,,,
,,贯彻落实六中全会精神, 
,1,iG在干嘛,864856
,2,广州疫情,485330
,3,卓越的力量有多大,436651
,4,马航MH370,434179
,5,上海确诊母女感染德尔塔变异株,389763
,6,恒大,283856
,7,嗦粉发现蟑螂以为是送的蚕蛹,249506
,8,广州白云发现新冠疑似病例,214985
,9,Rookie成为自由人,190503
,10,第一炉香,156662
,11,53岁中国外卖员在美遇抢劫,156385
,12,这猫养得属实有点费袜子,156330
,13,丁真饰演白泽,154970
,14,广东省政府约谈恒大,144278
,15,王菊吻戏,132662
,16,董璇说真爱海市的不止方诸一个,131259
,17,我佛瓷杯,114965
,18,上海疫情,113792
,19,压力大会导致内分泌失调,112952
,20,东非大裂谷究竟有多美,106909
,21,舅舅独自收16万彩礼把外甥女嫁人,98589
,22,央视记者揭露美国人权黑洞,96498
,23,央行回应广东向恒大派出工作组,90427
,24,海南一幼儿园33名师生感染诺如病毒,86608
,25,午睡的作用到底有多大,85474
,26,LPL所有冠军队伍同台,85095
,27,北大保安小哥要拿到本科文凭了,81182
,28,iPhone13信号好不好,78436
,29,哈尔滨一小区多家窗户出现小洞,74259
,30,杨洋综艺主持首秀,73662
,31,熙娣想聊,73373
,32,上海公布确诊母女溯源结果,72216
,33,男子恐惧牙科拖延治疗7颗牙被拔,71930
,34,青春环游记,69838
,35,蔡徐坤滑冰控制力好强,67409
,36,老人为26岁脑瘫养女寻亲生爹妈,66486
,37,相差61岁婚纱照背后的感人故事,65071
,38,原神获得PS年度奖,64723
,39,琅嬛好爱海市,62634
,40,韩国一教会或将暴发奥密克戎集体感染,57501
,41,女心理师,57169
,42,你的一生都被宪法守护着,54064
,43,上海银保监局局长韩沂被查,50106
,44,石家庄增4例本土确诊,49968
,45,孟庭苇儿子喜欢张杰的歌,49188
,46,海市哭着吻别方诸,48809
,47,央行有关负责人就恒大问题答记者问,48803
,48,2021超甜CP大赏,45662
,49,爱很美味今日更新,43355
,50,百里弘毅是神都第一bking吧,42200
,,,
Time,No.,Content,Hotness
2021-12-04 05:00:01,,,
,,永葆对党忠诚的政治品格, 
,1,iG在干嘛,171035
,2,上海确诊母女感染德尔塔变异株,142826
,3,卓越的力量有多大,140070
,4,马航MH370,138636
,5,广州疫情,132408
,6,恒大,99462
,7,广州白云发现新冠疑似病例,89164
,8,嗦粉发现蟑螂以为是送的蚕蛹,80563
,9,Rookie成为自由人,55749
,10,董璇说真爱海市的不止方诸一个,52576
,11,53岁中国外卖员在美遇抢劫,51533
,12,丁真饰演白泽,49057
,13,广东省政府约谈恒大,48683
,14,这猫养得属实有点费袜子,48061
,15,第一炉香,47403
,16,海南一幼儿园33名师生感染诺如病毒,47262
,17,央视记者揭露美国人权黑洞,44100
,18,王菊吻戏,41421
,19,我佛瓷杯,38895
,20,上海疫情,38430
,21,舅舅独自收16万彩礼把外甥女嫁人,38235
,22,哈尔滨一小区多家窗户出现小洞,36930
,23,相差61岁婚纱照背后的感人故事,35899
,24,央行回应广东向恒大派出工作组,34547
,25,东非大裂谷究竟有多美,34064
,26,杨洋综艺主持首秀,33198
,27,压力大会导致内分泌失调,33167
,28,老人为26岁脑瘫养女寻亲生爹妈,31556
,29,北京是全球唯一的双奥之城,30368
,30,韩国一教会或将暴发奥密克戎集体感染,29393
,31,熙娣想聊,29179
,32,男子恐惧牙科拖延治疗7颗牙被拔,28577
,33,女心理师,27375
,34,上海公布确诊母女溯源结果,26917
,35,iPhone13信号好不好,25747
,36,琅嬛好爱海市,25500
,37,北大保安小哥要拿到本科文凭了,24198
,38,午睡的作用到底有多大,24099
,39,LPL所有冠军队伍同台,23317
,40,青春环游记,22969
,41,孟庭苇儿子喜欢张杰的歌,22728
,42,石家庄增4例本土确诊,22582
,43,你的一生都被宪法守护着,20709
,44,斛珠夫人,20270
,45,上海银保监局局长韩沂被查,20257
,46,蔡徐坤滑冰控制力好强,19615
,47,爱很美味今日更新,19168
,48,海市哭着吻别方诸,17023
,49,央行有关负责人就恒大问题答记者问,16805
,50,原神获得PS年度奖,16284
,,,
Time,No.,Content,Hotness
2021-12-04 05:15:01,,,
,,永葆对党忠诚的政治品格, 
,1,iG在干嘛,166293
,2,马航MH370,144393
,3,卓越的力量有多大,135804
,4,上海确诊母女感染德尔塔变异株,132649
,5,广州疫情,131207
,6,恒大,89040
,7,广州白云发现新冠疑似病例,88102
,8,嗦粉发现蟑螂以为是送的蚕蛹,78552
,9,董璇说真爱海市的不止方诸一个,56499
,10,Rookie成为自由人,54311
,11,53岁中国外卖员在美遇抢劫,52595
,12,这猫养得属实有点费袜子,48828
,13,丁真饰演白泽,48179
,14,第一炉香,48012
,15,海南一幼儿园33名师生感染诺如病毒,45404
,16,广东省政府约谈恒大,44559
,17,央视记者揭露美国人权黑洞,41250
,18,王菊吻戏,41055
,19,我佛瓷杯,38583
,20,哈尔滨一小区多家窗户出现小洞,37519
,21,舅舅独自收16万彩礼把外甥女嫁人,37359
,22,东非大裂谷究竟有多美,36783
,23,相差61岁婚纱照背后的感人故事,35103
,24,央行回应广东向恒大派出工作组,34416
,25,上海疫情,33962
,26,杨洋综艺主持首秀,33628
,27,压力大会导致内分泌失调,32652
,28,老人为26岁脑瘫养女寻亲生爹妈,31455
,29,韩国一教会或将暴发奥密克戎集体感染,29925
,30,男子恐惧牙科拖延治疗7颗牙被拔,29296
,31,熙娣想聊,29289
,32,北京是全球唯一的双奥之城,29255
,33,琅嬛好爱海市,25768
,34,女心理师,24997
,35,iPhone13信号好不好,24874
,36,情侣吵架男子将女友头按进火锅,23965
,37,上海公布确诊母女溯源结果,23910
,38,北大保安小哥要拿到本科文凭了,22669
,39,LPL所有冠军队伍同台,22562
,40,孟庭苇儿子喜欢张杰的歌,22430
,41,午睡的作用到底有多大,21909
,42,青春环游记,21286
,43,你的一生都被宪法守护着,21197
,44,石家庄增4例本土确诊,20889
,45,斛珠夫人,20755
,46,上海银保监局局长韩沂被查,20461
,47,蔡徐坤滑冰控制力好强,20281
,48,爱很美味今日更新,18460
,49,海市哭着吻别方诸,16982
,50,央行有关负责人就恒大问题答记者问,15721
,,,
Time,No.,Content,Hotness
2021-12-04 05:30:02,,,
,,走近中老铁路, 
,1,iG在干嘛,169758
,2,马航MH370,155007
,3,卓越的力量有多大,141050
,•,遇上葡京,
,4,广州疫情,131842
,5,上海确诊母女感染德尔塔变异株,130655
,6,广州白云发现新冠疑似病例,86763
,7,恒大,84278
,8,嗦粉发现蟑螂以为是送的蚕蛹,80662
,9,董璇说真爱海市的不止方诸一个,59625
,10,Rookie成为自由人,50936
,11,情侣吵架男子将女友头按进火锅,50890
,12,53岁中国外卖员在美遇抢劫,50757
,13,这猫养得属实有点费袜子,50032
,14,丁真饰演白泽,49037
,15,第一炉香,47960
,16,海南一幼儿园33名师生感染诺如病毒,45123
,17,哈尔滨一小区多家窗户出现小洞,41839
,18,王菊吻戏,40724
,19,我佛瓷杯,39957
,20,东非大裂谷究竟有多美,39564
,21,广东省政府约谈恒大,39052
,22,舅舅独自收16万彩礼把外甥女嫁人,38117
,23,央视记者揭露美国人权黑洞,37258
,24,相差61岁婚纱照背后的感人故事,35925
